time;open;high;low;close;plot;EMA200;EMA100
2022-01-03T00:00:00+01:00;75,607;75,683;75,389;75,476;75,25322222;75,89130113;75,79360243
2022-01-03T00:00:00+01:00;75,607;75,683;75,389;75,476;75,25322222;75,89130113;75,79360243
2022-01-03T00:00:00+01:00;75,607;75,683;75,389;75,476;75,25322222;75,89130113;75,79360243
2022-01-03T00:00:00+01:00;75,607;75,683;75,389;75,476;75,25322222;75,89130113;75,79360243
2022-01-03T00:15:00+01:00;75,479;75,672;75,46;75,641;75,30433333;75,88881057;75,7905806
2022-01-03T00:15:00+01:00;75,479;75,672;75,46;75,641;75,30433333;75,88881057;75,7905806
2022-01-03T00:15:00+01:00;75,479;75,672;75,46;75,641;75,30433333;75,88881057;75,7905806
2022-01-03T00:15:00+01:00;75,479;75,672;75,46;75,641;75,30433333;75,88881057;75,7905806
2022-01-03T00:30:00+01:00;75,642;75,667;75,49;75,563;75,34166667;75,88556868;75,78607406
2022-01-03T00:30:00+01:00;75,642;75,667;75,49;75,563;75,34166667;75,88556868;75,78607406
2022-01-03T00:30:00+01:00;75,642;75,667;75,49;75,563;75,34166667;75,88556868;75,78607406
2022-01-03T00:30:00+01:00;75,642;75,667;75,49;75,563;75,34166667;75,88556868;75,78607406
2022-01-03T00:45:00+01:00;75,569;75,609;75,545;75,585;75,37033333;75,88257794;75,78209239
2022-01-03T00:45:00+01:00;75,569;75,609;75,545;75,585;75,37033333;75,88257794;75,78209239
2022-01-03T00:45:00+01:00;75,569;75,609;75,545;75,585;75,37033333;75,88257794;75,78209239
2022-01-03T00:45:00+01:00;75,569;75,609;75,545;75,585;75,37033333;75,88257794;75,78209239
2022-01-03T01:00:00+01:00;75,593;75,623;75,557;75,559;75,407;75,87935826;75,77767472
2022-01-03T01:00:00+01:00;75,593;75,623;75,557;75,559;75,407;75,87935826;75,77767472
2022-01-03T01:00:00+01:00;75,593;75,623;75,557;75,559;75,407;75,87935826;75,77767472
2022-01-03T01:00:00+01:00;75,593;75,623;75,557;75,559;75,407;75,87935826;75,77767472
2022-01-03T01:15:00+01:00;75,558;75,702;75,557;75,682;75,45633333;75,8773945;75,77578017
2022-01-03T01:15:00+01:00;75,558;75,702;75,557;75,682;75,45633333;75,8773945;75,77578017
2022-01-03T01:15:00+01:00;75,558;75,702;75,557;75,682;75,45633333;75,8773945;75,77578017
2022-01-03T01:15:00+01:00;75,558;75,702;75,557;75,682;75,45633333;75,8773945;75,77578017
2022-01-03T01:30:00+01:00;75,684;75,822;75,663;75,792;75,52322222;75,8765448;75,77610136
2022-01-03T01:30:00+01:00;75,684;75,822;75,663;75,792;75,52322222;75,8765448;75,77610136
2022-01-03T01:30:00+01:00;75,684;75,822;75,663;75,792;75,52322222;75,8765448;75,77610136
2022-01-03T01:30:00+01:00;75,684;75,822;75,663;75,792;75,52322222;75,8765448;75,77610136
2022-01-03T01:45:00+01:00;75,79;75,79;75,672;75,672;75,57722222;75,87450953;75,77403994
2022-01-03T01:45:00+01:00;75,79;75,79;75,672;75,672;75,57722222;75,87450953;75,77403994
2022-01-03T01:45:00+01:00;75,79;75,79;75,672;75,672;75,57722222;75,87450953;75,77403994
2022-01-03T01:45:00+01:00;75,79;75,79;75,672;75,672;75,57722222;75,87450953;75,77403994
2022-01-03T02:00:00+01:00;75,67;75,702;75,497;75,57;75,61555556;75,87147958;75,76999955
2022-01-03T02:00:00+01:00;75,67;75,702;75,497;75,57;75,61555556;75,87147958;75,76999955
2022-01-03T02:00:00+01:00;75,67;75,702;75,497;75,57;75,61555556;75,87147958;75,76999955
2022-01-03T02:00:00+01:00;75,67;75,702;75,497;75,57;75,61555556;75,87147958;75,76999955
2022-01-03T02:15:00+01:00;75,57;75,734;75,513;75,703;75,64077778;75,86980317;75,76867282
2022-01-03T02:15:00+01:00;75,57;75,734;75,513;75,703;75,64077778;75,86980317;75,76867282
2022-01-03T02:15:00+01:00;75,57;75,734;75,513;75,703;75,64077778;75,86980317;75,76867282
2022-01-03T02:15:00+01:00;75,57;75,734;75,513;75,703;75,64077778;75,86980317;75,76867282
2022-01-03T02:30:00+01:00;75,705;75,724;75,321;75,374;75,61111111;75,86486981;75,76085752
2022-01-03T02:30:00+01:00;75,705;75,724;75,321;75,374;75,61111111;75,86486981;75,76085752
2022-01-03T02:30:00+01:00;75,705;75,724;75,321;75,374;75,61111111;75,86486981;75,76085752
2022-01-03T02:30:00+01:00;75,705;75,724;75,321;75,374;75,61111111;75,86486981;75,76085752
2022-01-03T02:45:00+01:00;75,372;75,457;75,296;75,406;75,59366667;75,86030394;75,75383064
2022-01-03T02:45:00+01:00;75,372;75,457;75,296;75,406;75,59366667;75,86030394;75,75383064
2022-01-03T02:45:00+01:00;75,372;75,457;75,296;75,406;75,59366667;75,86030394;75,75383064
2022-01-03T02:45:00+01:00;75,372;75,457;75,296;75,406;75,59366667;75,86030394;75,75383064
2022-01-03T03:00:00+01:00;75,407;75,407;75,227;75,285;75,56033333;75,85457952;75,74454686
2022-01-03T03:00:00+01:00;75,407;75,407;75,227;75,285;75,56033333;75,85457952;75,74454686
2022-01-03T03:00:00+01:00;75,407;75,407;75,227;75,285;75,56033333;75,85457952;75,74454686
2022-01-03T03:00:00+01:00;75,407;75,407;75,227;75,285;75,56033333;75,85457952;75,74454686
2022-01-03T03:15:00+01:00;75,287;75,334;75,241;75,256;75,52666667;75,8486235;75,73487267
2022-01-03T03:15:00+01:00;75,287;75,334;75,241;75,256;75,52666667;75,8486235;75,73487267
2022-01-03T03:15:00+01:00;75,287;75,334;75,241;75,256;75,52666667;75,8486235;75,73487267
2022-01-03T03:15:00+01:00;75,287;75,334;75,241;75,256;75,52666667;75,8486235;75,73487267
2022-01-03T03:30:00+01:00;75,257;75,361;75,234;75,309;75,48522222;75,84325412;75,72643955
2022-01-03T03:30:00+01:00;75,257;75,361;75,234;75,309;75,48522222;75,84325412;75,72643955
