time;operation;price;amount;invest;value;stopUp;stopDown;baseInvest
2022-01-03T10:15:00+01:00;BUY;75,872;131.80092787853226;0;10000;0.5;0.73;10000
2022-01-06T03:45:00+01:00;SELL;76,725;0;10112.426191480386;10112.426191480386;0.5;0.73;10000
2022-01-11T09:00:00+01:00;BUY;78,393;128.9965455012614;0;10112.426191480386;0.5;0.73;10000
2022-01-11T15:30:00+01:00;SELL;78,549;0;10132.549652578584;10132.549652578584;0.5;0.73;10000
